label,area,centroid-0,centroid-1,seg_label,morphology,row_number,column_number,right_to_left
38,398.0,1372.0452261306532,3272.221105527638,38,intact,1,30,-8
36,440.0,1371.4681818181818,3335.2431818181817,36,intact,1,31,-7
39,323.0,1371.5201238390093,3386.495356037152,39,intact,1,32,-6
40,412.0,1372.4393203883494,3444.0461165048546,40,intact,1,33,-5
42,373.0,1374.6166219839142,3498.3404825737266,42,intact,1,34,-4
41,345.0,1372.3217391304347,3554.4463768115943,41,intact,1,35,-3
43,352.0,1374.3494318181818,3611.465909090909,43,intact,1,36,-2
44,411.0,1374.1143552311435,3668.2603406326034,44,intact,1,37,-1
53,486.0,1407.7798353909466,1652.2181069958847,53,intact,2,1,-37
50,374.0,1408.885026737968,1703.5213903743315,50,intact,2,2,-36
54,290.0,1409.344827586207,1760.9586206896552,54,intact,2,3,-35
61,524.0,1410.820610687023,1817.1965648854962,61,intact,2,4,-34
47,485.0,1408.7896907216495,1875.3525773195877,47,intact,2,5,-33
59,478.0,1411.8953974895398,1925.3451882845188,59,intact,2,6,-32
55,425.0,1410.2494117647059,1995.1905882352942,55,intact,2,7,-31
57,433.0,1411.972286374134,2034.05311778291,57,intact,2,8,-30
56,465.0,1410.6064516129031,2105.701075268817,56,intact,2,9,-29
60,386.0,1413.417098445596,2153.4041450777204,60,intact,2,10,-28
62,500.0,1411.92,2214.636,62,intact,2,11,-27
58,575.0,1413.0817391304347,2274.0504347826086,58,intact,2,12,-26
63,450.0,1413.888888888889,2323.2466666666664,63,intact,2,13,-25
64,628.0,1414.78025477707,2379.9474522292994,64,intact,2,14,-24
66,579.0,1414.7944732297065,2446.4214162348876,66,intact,2,15,-23
65,386.0,1414.9922279792745,2491.686528497409,65,intact,2,16,-22
67,570.0,1417.3947368421052,2560.733333333333,67,intact,2,17,-21
70,456.0,1419.4342105263158,2609.4122807017543,70,intact,2,18,-20
68,525.0,1419.0228571428572,2668.3752380952383,68,intact,2,19,-19
74,541.0,1420.7652495378927,2725.9574861367837,74,intact,2,20,-18
69,409.0,1419.877750611247,2784.8288508557457,69,intact,2,21,-17
71,405.0,1420.437037037037,2833.866666666667,71,intact,2,22,-16
72,391.0,1420.5780051150896,2899.936061381074,72,intact,2,23,-15
73,439.0,1422.362186788155,2946.239179954442,73,intact,2,24,-14
75,562.0,1421.4928825622776,3014.135231316726,75,intact,2,25,-13
76,390.0,1422.9538461538461,3064.174358974359,76,intact,2,26,-12
81,510.0,1423.4235294117648,3124.9470588235295,81,intact,2,27,-11
84,523.0,1424.3900573613766,3180.2313575525814,84,intact,2,28,-10
78,457.0,1423.9474835886215,3240.665207877462,78,intact,2,29,-9
79,597.0,1425.4556113902847,3290.5561139028478,79,intact,2,30,-8
77,525.0,1423.9733333333334,3354.2342857142858,77,intact,2,31,-7
82,465.0,1425.156989247312,3403.372043010753,82,intact,2,32,-6
85,481.0,1425.7068607068607,3459.008316008316,85,intact,2,33,-5
80,487.0,1425.447638603696,3509.6796714579054,80,intact,2,34,-4
83,410.0,1425.939024390244,3566.7146341463413,83,intact,2,35,-3
86,470.0,1426.840425531915,3618.810638297872,86,intact,2,36,-2
87,360.0,1426.3861111111112,3670.891666666667,87,intact,2,37,-1
96,489.0,1466.435582822086,1655.7546012269938,96,intact,3,1,-37
98,406.0,1467.5541871921182,1702.7118226600985,98,intact,3,2,-36
97,436.0,1466.9311926605506,1759.3211009174313,97,intact,3,3,-35
92,717.0,1467.4435146443514,1819.8284518828452,92,intact,3,4,-34
90,475.0,1467.2905263157895,1871.9789473684211,90,intact,3,5,-33
100,552.0,1469.1485507246377,1927.4746376811595,100,intact,3,6,-32
93,438.0,1466.7328767123288,1989.324200913242,93,intact,3,7,-31
103,374.0,1470.8208556149732,2034.0267379679144,103,intact,3,8,-30
101,522.0,1469.2701149425288,2108.1494252873563,101,intact,3,9,-29
104,340.0,1471.4911764705882,2152.8676470588234,104,intact,3,10,-28
99,410.0,1470.1658536585367,2213.8756097560977,99,intact,3,11,-27
102,381.0,1471.3517060367453,2273.254593175853,102,intact,3,12,-26
105,458.0,1472.3973799126638,2324.4039301310045,105,intact,3,13,-25
106,451.0,1474.050997782705,2378.960088691796,106,intact,3,14,-24
108,509.0,1473.4813359528487,2449.2593320235756,108,intact,3,15,-23
107,318.0,1473.9559748427673,2492.490566037736,107,intact,3,16,-22
109,410.0,1474.6926829268293,2559.651219512195,109,intact,3,17,-21
110,534.0,1479.061797752809,2609.932584269663,110,intact,3,18,-20
117,622.0,1479.3006430868168,2672.1430868167204,117,intact,3,19,-19
111,410.0,1480.7024390243903,2723.268292682927,111,intact,3,20,-18
114,464.0,1478.2780172413793,2786.5538793103447,114,intact,3,21,-17
112,467.0,1480.9914346895075,2836.1092077087796,112,intact,3,22,-16
120,589.0,1481.9405772495757,2902.5874363327675,120,intact,3,23,-15
118,353.0,1481.7818696883853,2948.5495750708214,118,intact,3,24,-14
119,539.0,1481.2504638218925,3017.1410018552874,119,intact,3,25,-13
115,328.0,1482.246951219512,3064.9146341463415,115,intact,3,26,-12
116,497.0,1481.4185110663984,3126.2897384305834,116,intact,3,27,-11
122,430.0,1483.9232558139536,3181.1627906976746,122,intact,3,28,-10
113,442.0,1481.9570135746606,3238.214932126697,113,intact,3,29,-9
126,587.0,1486.488926746167,3292.453151618399,126,intact,3,30,-8
121,588.0,1483.9676870748299,3356.862244897959,121,intact,3,31,-7
125,307.0,1485.9804560260586,3403.3322475570035,125,intact,3,32,-6
123,485.0,1484.4927835051546,3462.760824742268,123,intact,3,33,-5
128,432.0,1487.4328703703704,3511.5185185185187,128,intact,3,34,-4
124,435.0,1485.1264367816093,3567.383908045977,124,intact,3,35,-3
129,416.0,1487.173076923077,3620.591346153846,129,intact,3,36,-2
127,357.0,1485.7759103641456,3673.0196078431372,127,intact,3,37,-1
136,299.0,1522.3745819397993,1653.056856187291,136,intact,4,1,-37
137,290.0,1523.6137931034482,1700.1310344827587,137,intact,4,2,-36
139,438.0,1523.5228310502282,1762.0228310502282,139,intact,4,3,-35
141,662.0,1525.2069486404835,1818.299093655589,141,intact,4,4,-34
138,585.0,1524.246153846154,1870.1521367521368,138,intact,4,5,-33
143,535.0,1525.7682242990654,1927.6747663551403,143,intact,4,6,-32
140,390.0,1524.7153846153847,1986.3307692307692,140,intact,4,7,-31
144,345.0,1526.8115942028985,2032.3478260869565,144,intact,4,8,-30
142,632.0,1525.8496835443038,2109.981012658228,142,intact,4,9,-29
145,290.0,1528.1689655172413,2150.61724137931,145,intact,4,10,-28
